Source	Target	Weight
272	23398	0.00007204899650550
272	4201	0.00003319686597700
272	22403	0.00007204899650550
272	5319	0.00003098457042190
272	2146	0.00003723105198920
272	20692	0.00007318303036150
272	5312	0.00003788172715250
272	141	0.00003879267238110
272	6514	0.00003150511055250
272	428	0.00003306673094430
272	522	0.00004816239473210
272	4498	0.00003514889146680
272	583	0.00003410781120560
272	4196	0.00003827213225050
272	19216	0.00007318303036150
272	4192	0.00004660077434030
272	26	0.00004542955904640
272	588	0.00003592970166270
272	5671	0.00003059416532390
272	384	0.00006494981394440
272	385	0.00004673090937300
272	23254	0.00007431706421750
272	6172	0.00003358727107500
272	784	0.00004829252976480
272	19167	0.00007091496264950
272	4299	0.00003150511055250
272	3010	0.00003163524558510
272	2208	0.00004699117943830
272	21923	0.00007318303036150
272	2560	0.00006221697825870
272	2376	0.00003905294244640
272	2250	0.00003332700100960
272	515	0.00004425834375250
272	514	0.00006494981394440
272	1539	0.00003801186218520
272	431	0.00003085443538920
272	3593	0.00003384754114030
272	16522	0.00007431706421750
272	4266	0.00003371740610760
272	335	0.00003150511055250
272	21826	0.00007318303036150
272	4102	0.00004490901891580
272	6532	0.00003293659591170
272	5665	0.00003332700100960
272	17121	0.00007204899650550
272	1632	0.00003762145708720
272	1424	0.00001468287478900
272	5230	0.00003033389525860
272	4742	0.00003345713604230
272	4740	0.00003918307747910
272	20232	0.00007204899650550
272	2118	0.00003788172715250
272	2119	0.00003371740610760
272	23013	0.00006978092879360
272	6	0.00006612102923830
272	1032	0.00001488330449740
272	1033	0.00004503915394850
272	2112	0.00006195670819340
272	3081	0.00003684064689130
272	7009	0.00003137497551980
272	168	0.00004555969407910
272	3076	0.00004581996414440
272	3893	0.00003020376022600
272	3078	0.00003866253734840
272	1599	0.00003059416532390
272	161	0.00004529942401380
272	2561	0.00004790212466680
272	10	0.00006039508780160
272	6352	0.00003358727107500
272	16	0.00010177802818500
272	1184	0.00004764185460150
272	4688	0.00003788172715250
272	5797	0.00003124484048720
272	2696	0.00003788172715250
272	5812	0.00003085443538920
272	1163	0.00003306673094430
272	4240	0.00004425834375250
272	4619	0.00003345713604230
272	6949	0.00003150511055250
272	4769	0.00003345713604230
272	230	0.00003371740610760
272	6148	0.00001475131420170
272	1536	0.00006377859865060
272	20253	0.00007431706421750
272	3106	0.00003697078192390
272	5190	0.00003345713604230
272	957	0.00003033389525860
272	1	0.00001552370185850
272	9	0.00006273751838930
272	1698	0.00003319686597700
272	5288	0.00001465843214170
272	619	0.00003189551565050
272	1170	0.00003736118702190
272	5284	0.00003319686597700
272	22616	0.00007091496264950
272	74	0.00004412820871990
272	5204	0.00003423794623820
272	5733	0.00003163524558510
272	6630	0.00003059416532390
272	513	0.00006091562793220
272	16693	0.00007204899650550
272	1042	0.00004699117943830
272	16695	0.00007091496264950
272	4827	0.00003033389525860
272	21887	0.00007658513192940
272	6336	0.00003592970166270
272	4581	0.00003098457042190
272	17599	0.00007204899650550
273	16403	0.00002045565434340
273	578	0.00003486698980340
273	22772	0.00002158968819940
273	1302	0.00000749925738229
273	554	0.00002341510692990
273	2650	0.00001807957059110
273	2924	0.00001807957059110
273	5156	0.00002458632222380
273	7280	0.00001846997568910
273	3144	0.00002445618719120
273	4348	0.00001716862536260
273	4224	0.00004709968287290
273	6149	0.00002289456679930
273	4142	0.00002146308144010
273	7179	0.00001846997568910
273	1192	0.00002380551202790
273	84	0.00003629847516260
273	6470	0.00001755903046050
273	5271	0.00000750903444124
273	1181	0.00001755903046050
273	1964	0.00001677822026460
273	5920	0.00002094254130950
273	1074	0.00002419591712590
273	2328	0.00002393564706050
273	1612	0.00002016173111360
273	7592	0.00001690835529730
273	1856	0.00002224389163610
273	4168	0.00003161361398710
273	0	0.00001011950918020
273	3077	0.00002614794261570
273	3121	0.00002107267634220
273	2402	0.00002159321647280
273	36	0.00005243521921170
273	2276	0.00001990146104830
273	20261	0.00001932162048740
273	186	0.00001977132601560
273	12	0.00004918184339530
273	2364	0.00001768916549320
273	2077	0.00001990146104830
273	302	0.00002107267634220
273	1566	0.00001781930052580
273	1234	0.00001964119098300
273	7242	0.00001781930052580
273	5152	0.00003356563947690
273	22650	0.00001818758663140
273	512	0.00008848262325670
273	610	0.00002328497189730
273	617	0.00002055213621160
